playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
bowenro01,2004,1,MIN,AL,17,27,1,3,0,0,1,2,0,0,4,10,0,0,1,0,1
brazecr01,2004,1,NYN,NL,24,34,3,9,2,0,1,3,0,0,1,7,0,0,0,0,1
brazede01,2004,1,TBA,AL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brazoyh01,2004,1,LAN,NL,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brunebr01,2004,1,ARI,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buckjo01,2004,1,KCA,AL,71,238,36,56,9,0,12,30,1,1,15,79,0,0,4,1,6
burkech01,2004,1,HOU,NL,17,17,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0
burnese01,2004,1,PIT,NL,13,23,0,0,0,0,0,0,0,0,2,6,0,0,2,0,0
burrose01,2004,1,SDN,NL,130,523,76,156,23,3,2,47,5,4,31,52,4,9,1,0,6
cabreda01,2004,1,BAL,AL,28,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
cabrefe01,2004,1,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabremi01,2004,1,FLO,NL,160,603,101,177,31,1,33,112,5,2,68,148,5,6,0,8,20
cantujo01,2004,1,TBA,AL,50,173,25,52,20,1,2,17,0,0,9,44,0,2,0,1,5
capeljo01,2004,1,ATL,NL,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
castijo02,2004,1,PIT,NL,129,383,44,98,15,2,8,39,3,2,23,92,5,1,5,2,12
chacigu01,2004,1,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clossjd01,2004,1,COL,NL,36,113,5,36,6,0,1,10,0,0,6,22,0,2,3,0,3
corcoro01,2004,1,MON,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cordech01,2004,1,MON,NL,69,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
cormila01,2004,1,ARI,NL,17,8,1,2,1,0,0,1,0,0,1,2,0,0,1,0,0
correke01,2004,1,SFN,NL,12,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
cottsne01,2004,1,CHA,AL,56,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
crainje01,2004,1,MIN,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crawfca02,2004,1,TBA,AL,152,626,104,185,26,19,11,55,59,15,35,81,2,1,4,6,2
crosbbo01,2004,1,OAK,AL,151,545,70,130,34,1,22,64,7,3,58,141,0,9,5,6,20
crucefr01,2004,1,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daiglca01,2004,1,ARI,NL,11,17,2,2,2,0,0,0,0,0,0,7,0,0,1,0,1
davisja02,2004,1,CLE,AL,26,5,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0
delarjo01,2004,1,MIL,NL,5,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
diazfe01,2004,1,CHA,AL,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diazvi01,2004,1,NYN,NL,15,51,8,15,3,0,3,8,0,0,1,15,0,1,0,0,3
dominju01,2004,1,TEX,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durbijd01,2004,1,MIN,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
floydga01,2004,1,PHI,NL,6,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
foppeje01,2004,1,SFN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
francje01,2004,1,COL,NL,7,10,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0
garcida03,2004,1,NYN,NL,58,138,23,32,7,1,3,17,3,0,22,34,2,9,4,1,1
garcija01,2004,1,OAK,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gathrjo01,2004,1,TBA,AL,19,52,11,13,0,0,0,1,6,1,2,14,0,3,0,0,2
gaudich01,2004,1,TBA,AL,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
germafr01,2004,1,DET,AL,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
germaju01,2004,1,SDN,NL,7,7,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
gettiby01,2004,1,KCA,AL,21,39,7,7,1,1,0,1,0,1,8,14,1,1,0,1,0
gilje01,2004,1,ARI,NL,29,86,3,15,2,1,0,8,2,0,0,33,0,1,0,1,2
gobblji01,2004,1,KCA,AL,25,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gomesjo01,2004,1,TBA,AL,5,14,0,1,0,0,0,1,0,0,1,6,0,0,0,0,0
gonzaad01,2004,1,TEX,AL,16,42,7,10,3,0,1,7,0,0,2,6,0,0,0,0,0
gonzaed01,2004,1,ARI,NL,10,13,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0
goslimi01,2004,1,ARI,NL,6,6,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0
gotayru01,2004,1,KCA,AL,44,152,17,41,7,3,1,16,0,1,9,36,0,2,1,2,4
