yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2003,SFN,NL,willije02,21,18,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2003,SLN,NL,harenda01,15,14,15,14,14,0,0,0,0,0,0,0,0,0,0,0,1
2003,SLN,NL,pujolal01,157,150,157,150,0,0,62,0,0,0,113,0,0,113,1,7,0
2003,TBA,AL,baldero01,156,151,156,154,0,0,0,0,0,0,0,154,0,154,2,2,2
2003,TBA,AL,brazede01,10,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2003,TBA,AL,crawfca02,151,144,151,146,0,0,0,0,0,0,137,13,0,146,1,5,1
2003,TBA,AL,gaudich01,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,
2003,TBA,AL,gomesjo01,8,4,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2003,TBA,AL,mccluse01,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,
2003,TBA,AL,perezan01,48,38,48,40,0,0,0,31,6,6,0,0,0,0,0,3,6
2003,TBA,AL,waechdo01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,
2003,TEX,AL,blaloha01,143,132,143,142,0,0,0,4,141,0,0,0,0,0,0,7,1
2003,TEX,AL,dominju01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,
2003,TEX,AL,nivarra01,28,23,28,26,0,0,0,0,0,0,0,26,0,26,0,1,2
2003,TEX,AL,nixla01,53,47,53,52,0,0,0,0,0,0,5,21,37,52,0,3,1
2003,TEX,AL,teixema01,146,138,146,140,0,0,116,0,15,0,14,0,11,25,5,3,3
2004,ANA,AL,kotchca01,38,27,38,34,0,0,34,0,0,0,0,0,0,0,0,5,0
2004,ANA,AL,mcpheda01,16,11,16,14,0,0,0,0,14,0,0,0,0,0,0,2,2
2004,ANA,AL,rodrifr03,69,0,3,69,69,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARI,NL,brunebr01,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARI,NL,cormila01,17,5,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARI,NL,daiglca01,11,10,11,10,10,0,0,0,0,0,0,0,0,0,0,1,0
2004,ARI,NL,gilje01,29,24,29,28,0,0,0,0,0,28,0,0,0,0,0,1,1
2004,ARI,NL,gonzaed01,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARI,NL,goslimi01,6,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARI,NL,hairssc01,101,83,101,88,0,0,0,85,0,0,2,0,2,3,0,14,2
2004,ARI,NL,kroegjo01,22,13,22,19,0,0,0,0,0,0,11,2,8,19,0,2,3
2004,ARI,NL,snydech02,29,27,29,29,0,29,0,0,0,0,0,0,0,0,0,0,0
2004,ARI,NL,terrelu01,62,59,62,61,0,0,0,0,0,0,1,57,4,61,0,1,0
2004,ARI,NL,tracych01,143,122,143,138,0,0,11,0,135,0,1,0,0,1,0,10,0
2004,ARI,NL,villaos01,17,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2004,ATL,NL,betemwi01,22,11,22,17,0,0,0,0,7,11,0,0,0,0,0,4,2
2004,ATL,NL,capeljo01,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2004,ATL,NL,meyerda02,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2004,BAL,AL,bautide01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
2004,BAL,AL,bautijo02,16,2,16,10,0,0,0,0,4,0,0,0,6,6,0,4,7
2004,BAL,AL,cabreda01,28,2,3,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2004,BAL,AL,mainejo01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2004,BAL,AL,majewva01,9,3,9,4,0,0,0,0,0,0,0,3,1,4,0,3,2
2004,BAL,AL,rodried03,29,0,3,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2004,BOS,AL,alvarab01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2004,CHA,AL,cottsne01,56,0,3,56,56,0,0,0,0,0,0,0,0,0,0,0,0
2004,CHA,AL,diazfe01,18,1,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2004,CHA,AL,munozar01,11,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0
