playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
ohlenro01,2007,ALDS2,NYA,AL,0,0,1,0,0,0,0,3,4,3,1,1,0,0.57,27,0,0,1,0,9,0,3,0,0,0
verasjo01,2007,ALDS2,NYA,AL,0,0,2,0,0,0,0,2,1,0,0,1,1,0.33,0,1,0,0,0,4,0,0,0,0,0
wangch01,2007,ALDS2,NYA,AL,0,2,2,2,0,0,0,17,14,12,3,4,2,0.5,19.06,0,0,2,0,34,0,12,0,0,1
nippedu01,2007,NLCS,ARI,NL,0,0,2,0,0,0,0,7,1,0,0,0,2,0.12,0,0,0,0,0,8,1,0,0,0,0
owingmi01,2007,NLCS,ARI,NL,0,1,1,1,0,0,0,11,6,2,1,2,2,0.33,4.91,0,0,1,0,21,0,6,0,0,0
penato03,2007,NLCS,ARI,NL,0,0,3,0,0,0,0,10,1,0,0,0,7,0.09,0,0,0,0,0,11,1,0,0,0,0
slatedo01,2007,NLCS,ARI,NL,0,0,3,0,0,0,0,4,1,0,0,2,1,0.2,0,1,1,0,0,7,1,0,0,0,0
corpama01,2007,NLCS,COL,NL,1,0,4,0,0,0,2,16,3,1,0,0,3,0.16,1.69,0,0,1,0,19,3,1,0,0,0
francje01,2007,NLCS,COL,NL,1,0,1,1,0,0,0,20,7,1,0,1,4,0.29,1.35,0,0,2,0,27,0,1,0,0,2
jimenub01,2007,NLCS,COL,NL,0,0,1,1,0,0,0,15,5,1,0,4,6,0.26,1.8,1,1,0,0,23,0,1,0,0,0
moralfr01,2007,NLCS,COL,NL,0,0,1,1,0,0,0,12,5,1,0,1,2,0.31,2.25,0,0,1,0,18,0,1,0,0,0
penato03,2007,NLDS1,ARI,NL,0,0,2,0,0,0,0,6,2,0,0,0,0,0.33,0,0,0,0,0,6,0,0,0,0,2
hartke01,2007,NLDS1,CHN,NL,0,0,1,0,0,0,0,3,0,2,0,2,2,0,18,0,1,0,0,5,0,2,0,0,0
hillri01,2007,NLDS1,CHN,NL,0,1,1,1,0,0,0,9,6,3,1,2,3,0.4,9,0,0,1,0,18,0,3,0,0,0
marmoca01,2007,NLDS1,CHN,NL,0,1,2,0,0,0,0,9,3,3,2,3,6,0.27,9,0,0,0,0,15,0,3,0,1,0
zambrca01,2007,NLDS1,CHN,NL,0,0,1,1,0,0,0,18,4,1,1,1,8,0.19,1.5,0,0,0,0,22,0,1,0,0,1
corpama01,2007,NLDS2,COL,NL,0,0,3,0,0,0,3,10,2,0,0,0,3,0.16,0,0,0,0,0,12,3,0,0,0,0
francje01,2007,NLDS2,COL,NL,1,0,1,1,0,0,0,18,4,2,2,2,8,0.19,3,0,0,0,0,23,0,2,0,0,1
jimenub01,2007,NLDS2,COL,NL,0,0,1,1,0,0,0,19,3,1,1,4,5,0.14,1.42,0,0,0,0,25,0,1,0,0,1
moralfr01,2007,NLDS2,COL,NL,0,0,1,1,0,0,0,9,3,3,1,2,3,0.27,9,0,0,1,0,14,0,3,0,0,0
hamelco01,2007,NLDS2,PHI,NL,0,1,1,1,0,0,0,20,3,3,0,4,7,0.13,4.05,0,0,0,0,27,0,3,1,0,0
kendrky01,2007,NLDS2,PHI,NL,0,1,1,1,0,0,0,11,5,5,2,2,2,0.31,12.27,1,0,0,0,18,0,5,0,0,0
myersbr01,2007,NLDS2,PHI,NL,0,0,2,0,0,0,0,4,2,0,0,0,3,0.33,0,0,0,0,0,6,2,0,0,0,0
beckejo02,2007,WS,BOS,AL,1,0,1,1,0,0,0,21,6,1,0,1,9,0.23,1.29,0,0,0,0,27,0,1,0,0,1
delcama01,2007,WS,BOS,AL,0,0,2,0,0,0,0,4,3,1,1,1,1,0.42,6.75,0,0,0,0,8,0,1,0,0,0
lestejo01,2007,WS,BOS,AL,1,0,1,1,0,0,0,17,3,0,0,3,3,0.15,0,0,0,0,0,23,0,0,0,0,0
matsuda01,2007,WS,BOS,AL,1,0,1,1,0,0,0,16,3,2,0,3,5,0.15,3.38,0,0,1,0,23,0,2,0,0,0
papeljo01,2007,WS,BOS,AL,0,0,3,0,0,0,3,13,2,0,0,0,3,0.14,0,0,0,0,0,14,3,0,0,0,0
corpama01,2007,WS,COL,NL,0,0,2,0,0,0,0,5,1,0,0,0,1,0.16,0,0,0,0,0,6,2,0,0,0,0
francje01,2007,WS,COL,NL,0,1,1,1,0,0,0,12,10,6,1,3,3,0.45,13.5,2,0,0,0,25,0,6,0,0,0
jimenub01,2007,WS,COL,NL,0,1,1,1,0,0,0,14,3,2,0,5,2,0.18,3.86,0,0,1,0,23,0,2,0,1,0
moralfr01,2007,WS,COL,NL,0,0,2,0,0,0,0,9,7,7,0,1,1,0.43,21,0,0,0,1,17,0,7,0,0,0
beckejo02,2008,ALCS,BOS,AL,1,0,2,2,0,0,0,28,13,10,5,2,8,0.34,9.64,0,0,1,0,41,0,10,0,0,1
delcama01,2008,ALCS,BOS,AL,0,0,3,0,0,0,0,6,3,7,0,5,2,0.33,,0,0,0,0,14,0,7,0,0,0
lestejo01,2008,ALCS,BOS,AL,0,2,2,2,0,0,0,38,14,7,3,2,15,0.27,4.97,0,0,0,0,53,0,8,0,0,0
masteju01,2008,ALCS,BOS,AL,1,0,5,0,0,0,0,17,4,1,0,2,6,0.22,1.59,0,0,1,0,21,1,1,0,0,2
matsuda01,2008,ALCS,BOS,AL,1,0,2,2,0,0,0,33,9,5,3,6,11,0.21,4.09,0,1,0,0,48,0,5,0,0,0
papeljo01,2008,ALCS,BOS,AL,0,0,4,0,0,0,2,16,1,0,0,1,6,0.06,0,1,0,0,0,17,2,0,0,0,1
garzama01,2008,ALCS,TBA,AL,2,0,2,2,0,0,0,39,8,2,1,6,14,0.17,1.38,0,0,1,0,54,0,2,0,0,0
howeljp01,2008,ALCS,TBA,AL,0,1,6,0,0,0,0,16,5,2,0,3,6,0.25,,1,0,1,0,25,1,2,0,1,1
jacksed01,2008,ALCS,TBA,AL,0,0,2,0,0,0,0,7,0,0,0,2,4,0,0,0,0,0,0,9,2,0,0,0,0
kazmisc01,2008,ALCS,TBA,AL,0,0,2,2,0,0,0,31,8,5,3,6,9,0.2,4.35,0,1,1,0,46,0,5,0,0,0
priceda01,2008,ALCS,TBA,AL,1,0,3,0,0,0,1,7,0,0,0,2,4,0,0,0,0,0,0,9,3,0,0,0,0
shielja02,2008,ALCS,TBA,AL,0,2,2,2,0,0,0,39,15,5,2,5,9,0.29,3.46,0,0,0,0,57,0,6,0,1,1
sonnaan01,2008,ALCS,TBA,AL,1,0,1,1,0,0,0,22,6,3,1,1,2,0.21,3.68,0,0,0,0,29,0,4,0,0,1
beckejo02,2008,ALDS1,BOS,AL,0,0,1,1,0,0,0,15,9,4,2,4,6,0.37,7.2,0,0,0,0,28,0,4,0,0,0
delcama01,2008,ALDS1,BOS,AL,1,0,2,0,0,0,0,7,1,0,0,0,1,0.14,0,0,0,1,0,8,1,0,0,0,0
lestejo01,2008,ALDS1,BOS,AL,1,0,2,2,0,0,0,42,10,0,0,3,11,0.18,0,0,0,0,0,56,0,1,0,0,0
masteju01,2008,ALDS1,BOS,AL,0,0,4,0,0,0,0,12,6,1,0,3,3,0.4,2.25,0,0,0,0,19,0,2,1,0,0
matsuda01,2008,ALDS1,BOS,AL,0,0,1,1,0,0,0,15,8,3,0,3,5,0.34,5.4,0,0,0,0,26,0,3,0,0,0
papeljo01,2008,ALDS1,BOS,AL,1,0,3,0,0,0,1,15,2,0,0,1,7,0.12,0,0,0,0,0,18,2,0,0,1,0
arredjo01,2008,ALDS1,LAA,AL,0,0,3,0,0,0,0,11,2,0,0,2,4,0.15,0,0,0,0,0,15,1,0,0,0,0
rodrifr03,2008,ALDS1,LAA,AL,0,1,2,0,0,0,0,7,5,2,1,2,2,0.45,7.71,0,0,0,0,13,1,2,0,0,1
santaer01,2008,ALDS1,LAA,AL,0,0,1,1,0,0,0,16,8,5,1,0,3,0.3,8.44,0,0,0,0,26,0,5,0,0,0
saundjo01,2008,ALDS1,LAA,AL,0,0,1,1,0,0,0,14,5,4,0,4,2,0.27,7.71,0,0,1,0,23,0,4,0,0,1
weaveje02,2008,ALDS1,LAA,AL,1,0,1,0,0,0,0,6,1,0,0,1,3,0.14,0,0,0,0,0,8,1,0,0,0,0
danksjo01,2008,ALDS2,CHA,AL,1,0,1,1,0,0,0,20,7,3,1,3,7,0.25,4.05,0,0,0,0,30,0,3,0,0,0
floydga01,2008,ALDS2,CHA,AL,0,1,1,1,0,0,0,9,5,4,2,2,4,0.35,12,0,0,0,0,16,0,4,0,0,0
jenksbo01,2008,ALDS2,CHA,AL,0,0,1,0,0,0,1,3,1,0,0,0,1,0.25,0,0,0,0,0,4,1,0,0,0,0
richacl01,2008,ALDS2,CHA,AL,0,0,2,0,0,0,0,19,5,1,0,3,6,0.22,1.42,0,0,0,0,25,0,1,0,0,1
