playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
teixema01,2003,1,TEX,AL,1B,116,,2799,931,71,4,95,,,,,
teixema01,2003,1,TEX,AL,3B,15,,300,10,20,7,0,,,,,
teixema01,2003,1,TEX,AL,LF,14,,,,,,,,,,,
teixema01,2003,1,TEX,AL,OF,25,,435,29,0,1,0,,,,,
teixema01,2003,1,TEX,AL,RF,11,,,,,,,,,,,
terrelu01,2003,1,ARI,NL,CF,2,,,,,,,,,,,
terrelu01,2003,1,ARI,NL,OF,3,,18,1,0,0,0,,,,,
terrelu01,2003,1,ARI,NL,RF,1,,,,,,,,,,,
tsaoch01,2003,1,COL,NL,P,9,,129,3,9,0,2,,,,,
victosh01,2003,1,SDN,NL,CF,16,,,,,,,,,,,
victosh01,2003,1,SDN,NL,LF,15,,,,,,,,,,,
victosh01,2003,1,SDN,NL,OF,32,,579,42,3,0,0,,,,,
victosh01,2003,1,SDN,NL,RF,3,,,,,,,,,,,
villaos01,2003,1,ARI,NL,P,86,,294,5,17,3,1,,,,,
waechdo01,2003,1,TBA,AL,P,6,,105,2,1,0,0,,,,,
wagnery01,2003,1,CIN,NL,P,17,,66,3,0,1,0,,,,,
weeksri01,2003,1,MIL,NL,2B,4,,63,1,1,1,0,,,,,
willido03,2003,1,FLO,NL,P,27,,483,2,17,4,2,,,,,
willije02,2003,1,SFN,NL,P,21,,393,11,14,3,3,,,,,
woodmi01,2003,1,OAK,AL,P,7,,42,0,4,1,0,,,,,
zambrca01,2003,1,CHN,NL,P,32,,642,19,46,4,2,,,,,
aardsda01,2004,1,SFN,NL,P,11,,33,0,0,0,0,,,,,
adamsru01,2004,1,TOR,AL,SS,21,,477,26,47,5,9,,,,,
alvarab01,2004,1,BOS,AL,P,1,,15,1,0,0,0,,,,,
baekch01,2004,1,SEA,AL,P,7,,93,3,2,0,0,,,,,
baldero01,2004,1,TBA,AL,CF,124,,,,,,,,,,,
baldero01,2004,1,TBA,AL,OF,124,,3141,342,11,8,2,,,,,
bautide01,2004,1,BAL,AL,P,2,,6,0,0,0,0,,,,,
bautide01,2004,2,KCA,AL,P,5,,84,0,1,0,0,,,,,
bautijo02,2004,1,BAL,AL,3B,4,,15,0,0,0,0,,,,,
bautijo02,2004,2,TBA,AL,3B,2,,12,0,2,0,0,,,,,
bautijo02,2004,3,KCA,AL,3B,11,,174,5,17,1,2,,,,,
bautijo02,2004,4,PIT,NL,CF,3,,,,,,,,,,,
bautijo02,2004,2,TBA,AL,LF,5,,,,,,,,,,,
bautijo02,2004,1,BAL,AL,OF,6,,72,4,1,0,0,,,,,
bautijo02,2004,2,TBA,AL,OF,8,,84,4,0,0,0,,,,,
bautijo02,2004,3,KCA,AL,OF,1,,3,0,0,0,0,,,,,
bautijo02,2004,4,PIT,NL,OF,12,,225,19,0,3,0,,,,,
bautijo02,2004,1,BAL,AL,RF,6,,,,,,,,,,,
bautijo02,2004,2,TBA,AL,RF,3,,,,,,,,,,,
bautijo02,2004,3,KCA,AL,RF,1,,,,,,,,,,,
bautijo02,2004,4,PIT,NL,RF,9,,,,,,,,,,,
beckejo02,2004,1,FLO,NL,P,26,,471,4,17,2,0,,,,,
benneje01,2004,1,MIL,NL,P,60,,213,6,7,1,0,,,,,
bentzch01,2004,1,MON,NL,P,36,,84,5,5,0,0,,,,,
betemwi01,2004,1,ATL,NL,3B,7,,117,2,6,0,2,,,,,
betemwi01,2004,1,ATL,NL,SS,11,,225,12,30,3,5,,,,,
blacktr01,2004,1,SEA,AL,P,6,,78,2,4,0,0,,,,,
blaloha01,2004,1,TEX,AL,3B,159,,4134,103,279,17,33,,,,,
blancan01,2004,1,KCA,AL,SS,19,,486,30,64,4,17,,,,,
blantjo01,2004,1,OAK,AL,P,3,,24,1,0,0,0,,,,,
bondeje01,2004,1,DET,AL,P,33,,552,14,15,3,1,,,,,
bongju01,2004,1,CIN,NL,P,3,,45,1,4,0,1,,,,,
bowenro01,2004,1,MIN,AL,C,15,,246,65,1,1,1,0,,6,1,
brazecr01,2004,1,NYN,NL,1B,7,,105,34,4,1,1,,,,,
brazede01,2004,1,TBA,AL,P,22,,363,5,8,0,1,,,,,
brazoyh01,2004,1,LAN,NL,P,31,,99,1,4,0,1,,,,,
brunebr01,2004,1,ARI,NL,P,30,,93,2,3,1,0,,,,,
