playerID,schoolID,yearID
crottmi01,flatlantic,2006
crowaa01,missouri,2006
crowaa01,missouri,2007
crowaa01,missouri,2008
crowetr01,arizona,2003
crowetr01,arizona,2004
crowetr01,arizona,2005
cumptbr01,gatech,2008
cumptbr01,gatech,2009
cumptbr01,gatech,2010
cunniaa01,waevere,2005
cunnito01,jksonvilst,2008
cunnito01,jksonvilst,2009
cunnito01,jksonvilst,2010
curtico01,arizonast,2004
curtico01,arizonast,2005
curtico01,arizonast,2006
curtije01,ucla,2006
curtije01,ucla,2007
curtije01,ucla,2008
daleyma01,bucknell,2001
daleyma01,bucknell,2003
daleyma01,bucknell,2004
danksjo02,texas,2006
danksjo02,texas,2007
danksjo02,texas,2008
dantoja01,wake,2001
dantoja01,wake,2002
dantoja01,wake,2003
darnach01,pepperdine,2006
darnach01,pepperdine,2007
darnach01,pepperdine,2008
darneja01,scarolina,2006
darneja01,scarolina,2007
darneja01,scarolina,2008
davidda02,flgccco,2000
davidda02,flgccco,2001
davidda02,floridast,2002
davidda02,floridast,2003
davisbl01,calstfull,2004
davisbl01,calstfull,2005
davisbl01,calstfull,2006
davisbr03,longbeach,2002
davisbr03,longbeach,2003
davisbr03,longbeach,2004
davisch02,txnavar,2005
davisch02,txnavar,2006
daviser02,stanford,2005
daviser02,stanford,2006
daviser02,stanford,2007
daviser02,stanford,2008
davisik02,arizonast,2006
davisik02,arizonast,2007
davisik02,arizonast,2008
davisja02,tncleve,1999
davisja02,tncleve,2000
daviskh01,calstfull,2007
daviskh01,calstfull,2008
daviskh01,calstfull,2009
davisra01,ctconap,2000
davisra01,ctconap,2001
dayde01,southernu,2000
dayde01,southernu,2001
dayde01,southernu,2002
dayde01,southernu,2003
demarch01,caelcam,1999
demarch01,caelcam,2000
demarch01,longbeach,2001
demarch01,longbeach,2002
demelsa01,txchrist,2005
demelsa01,txchrist,2006
demelsa01,txchrist,2007
dendema01,florida,2007
dendema01,florida,2008
dendema01,florida,2009
dendema01,florida,2010
denorch01,wheatonma,1999
denorch01,wheatonma,2000
denorch01,wheatonma,2001
denorch01,wheatonma,2002
desalma01,mariettaoh,1999
desalma01,mariettaoh,2000
desalma01,mariettaoh,2001
desalma01,mariettaoh,2002
desalma01,mariettaoh,2003
descada01,ucdavis,2005
descada01,ucdavis,2006
descada01,ucdavis,2007
detwiro01,swmost,2005
detwiro01,swmost,2006
detwiro01,swmost,2007
devinjo01,ncstate,2003
devinjo01,ncstate,2004
devinjo01,ncstate,2005
diamoth01,norleans,2003
diamoth01,norleans,2004
diazjo02,ncstate,2004
diazjo02,ncstate,2005
diazjo02,ncstate,2006
diazvi01,txgrays,2001
dickech01,nevada,2001
dickech01,nevada,2002
dickech01,nevada,2003
dietrde01,gatech,2008
dietrde01,gatech,2009
dietrde01,gatech,2010
dillati01,msitawa,2002
dillati01,msitawa,2003
dirksan01,wichitast,2007
dirksan01,wichitast,2008
dlugabr01,memphis,2002
dlugabr01,memphis,2003
dlugabr01,memphis,2004
donalja01,arizona,2004
donalja01,arizona,2005
donalja01,arizona,2006
donaljo02,auburn,2005
donaljo02,auburn,2006
donaljo02,auburn,2007
doolise01,virginia,2005
doolise01,virginia,2006
doolise01,virginia,2007
dovede01,georgiasou,2001
dovede01,georgiasou,2002
dovede01,georgiasou,2003
downsma01,alabama,2004
downsma01,alabama,2005
downsma01,alabama,2006
doziebr01,smiss,2006
doziebr01,smiss,2007
doziebr01,smiss,2008
doziebr01,smiss,2009
drewst01,floridast,2002
drewst01,floridast,2003
drewst01,floridast,2004
dudalu01,usc,2005
dudalu01,usc,2006
dudalu01,usc,2007
duensbr01,nebraska,2002
duensbr01,nebraska,2003
duensbr01,nebraska,2005
duffych01,azsouth,1999
duffych01,azsouth,2000
duffych01,arizonast,2001
dumatph01,cabakjc,2000
dunnija01,indiana,2009
durange01,txchrist,2004
durange01,txweath,2005
dwyerch01,clemson,2009
dysonsa01,scarolina,2008
dysonsa01,scarolina,2009
dysonsa01,scarolina,2010
eatonad02,miamioh,2008
eatonad02,miamioh,2009
eatonad02,miamioh,2010
edginjo01,ohiost,2007
edginjo01,ohiost,2008
edginjo01,scfranc,2009
edginjo01,scfranc,2010
edlefst01,nebraska,2006
edlefst01,nebraska,2007
egberja01,rutgers,2002
egberja01,rutgers,2003
egberja01,rutgers,2004
ekstrmi01,oregonst,2002
ekstrmi01,oregonst,2003
ekstrmi01,ptlomanaz,2004
eldrebr01,flinternat,1999
eldrebr01,flinternat,2000
eldrebr01,flinternat,2001
eldrebr01,flinternat,2002
ellisaj01,austinpeay,2000
ellisaj01,austinpeay,2001
ellisaj01,austinpeay,2002
ellisaj01,austinpeay,2003
ellsbja01,oregonst,2003
ellsbja01,oregonst,2004
ellsbja01,oregonst,2005
elmorja01,arizonast,2008
elyjo01,miamioh,2005
elyjo01,miamioh,2006
elyjo01,miamioh,2007
emausbr01,tulane,2005
emausbr01,tulane,2006
emausbr01,tulane,2007
enrigba01,pepperdine,2005
enrigba01,pepperdine,2006
enrigba01,pepperdine,2007
eppleco01,vcu,2005
eppleco01,vcu,2006
eppleco01,vcu,2007
eppleco01,vcu,2008
espinda01,longbeach,2006
espinda01,longbeach,2007
espinda01,longbeach,2008
espinge01,texas,2001
espinge01,texas,2002
espinge01,texas,2003
espinge01,txchrist,2004
esposmi01,arizonast,2000
esposmi01,arizonast,2001
esposmi01,arizonast,2002
estrama01,caglend,2003
estrama01,longbeach,2005
ethiean01,arizonast,2002
ethiean01,arizonast,2003
evanste01,gamiddl,2001
evanste01,gamiddl,2002
evelada01,txhillj,2002
evelada01,cacanyo,2003
everito01,sonomast,2002
everito01,sonomast,2003
everito01,sonomast,2004
faheybr01,txgrays,2000
faheybr01,txgrays,2001
faheybr01,texas,2002
farmebu01,gatech,2010
farmebu01,gatech,2011
farmebu01,gatech,2012
farmebu01,gatech,2013
farquda01,ulala,2006
farquda01,ulala,2007
farquda01,ulala,2008
farrier01,loyolamary,2005
farrier01,loyolamary,2006
farrier01,loyolamary,2007
federti01,unc,2006
federti01,unc,2007
federti01,unc,2008
feldmsc01,cacsmat,2002
feldmsc01,cacsmat,2003
fickch01,fresnost,2005
fickch01,calstnorth,2006
fickch01,calstnorth,2007
fieldjo02,azmescc,2001
fieldjo02,okstate,2002
fieldjo02,okstate,2003
fieldjo02,okstate,2004
fieldjo03,georgia,2005
fieldjo03,georgia,2006
fieldjo03,georgia,2007
fieldjo03,georgia,2008
fieldth01,swtexas,2006
fieldth01,swtexas,2007
fieldth01,swtexas,2008
fienca01,calpoly,2005
fienca01,calpoly,2006
fiersmi01,flnovas,2009
fifest01,utah,2007
fifest01,utah,2008
finnebr01,txchrist,2012
finnebr01,txchrist,2013
finnebr01,txchrist,2014
fioreje01,flatlantic,2002
fioreje01,flatlantic,2003
fioreje01,flatlantic,2004
fistedo01,fresnost,2005
fistedo01,fresnost,2006
flahery01,vandy,2006
flahery01,vandy,2007
flahery01,vandy,2008
flynnbr01,wichitast,2009
flynnbr01,wichitast,2011
fontemi01,lsu,2000
fontemi01,lsu,2001
foppeje01,sanfran,1999
foppeje01,sanfran,2000
foppeje01,sanfran,2001
forsylo01,arkansas,2006
forsylo01,arkansas,2007
forsylo01,arkansas,2008
foxja02,michigan,2001
foxja02,michigan,2002
foxja02,michigan,2003
foxma01,cflorida,2002
foxma01,cflorida,2003
foxma01,cflorida,2004
francbe01,cacypre,2000
francbe01,ucla,2001
francbe01,ucla,2002
frandke01,sanjosest,2001
frandke01,sanjosest,2002
frandke01,sanjosest,2003
frandke01,sanjosest,2004
frazije01,rutgers,2003
frazije01,rutgers,2004
frazito01,rutgers,2005
frazito01,rutgers,2006
frazito01,rutgers,2007
freemju02,kennesawst,2006
freemju02,kennesawst,2007
freemju02,kennesawst,2008
freemsa01,kansas,2008
freesda01,meramec,2003
freesda01,meramec,2004
freesda01,salabama,2005
freesda01,salabama,2006
freimna01,duke,2006
freimna01,duke,2007
freimna01,duke,2008
freimna01,duke,2009
friedch01,ekentucky,2006
friedch01,ekentucky,2007
friedch01,ekentucky,2008
fryerer01,ohiost,2005
fryerer01,ohiost,2006
fryerer01,ohiost,2007
fuldsa01,stanford,2001
fuldsa01,stanford,2002
fuldsa01,stanford,2003
fuldsa01,stanford,2004
furbuch01,mestjos,2005
furbuch01,mestjos,2006
furbuch01,lsu,2007
gabbaka01,flindia,2001
gamelma01,flchipo,2005
garcida03,pepperdine,1999
garcida03,pepperdine,2000
garcida03,pepperdine,2001
gardnbr01,charleston,2002
