playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
brazoyh01,2005,1,LAN,NL,4,10,74,0,0,0,21,218,70,43,11,32,61,0.258,5.33,4,1,5,0,317,44,46,7,2,
breslcr01,2005,1,SDN,NL,0,0,14,0,0,0,0,49,15,4,1,13,14,0.238,2.2,0,1,1,0,78,3,6,0,1,
broxtjo01,2005,1,LAN,NL,1,0,14,0,0,0,0,41,13,9,0,12,22,0.245,5.93,2,2,1,0,68,5,11,0,2,
brunebr01,2005,1,ARI,NL,1,3,47,0,0,0,12,138,56,38,6,35,51,0.299,7.43,2,2,5,0,230,21,39,2,1,
bullibr01,2005,1,PIT,NL,0,0,1,0,0,0,0,4,1,2,0,1,1,0.25,13.5,0,0,1,0,7,0,2,0,1,
burgoam01,2005,1,KCA,AL,3,5,59,0,0,0,2,190,60,28,6,31,65,0.251,3.98,1,8,5,2,278,17,29,2,1,
burrose01,2005,1,SDN,NL,0,0,1,0,0,0,0,3,4,3,1,0,0,0.571,27,0,0,0,0,7,1,3,0,0,
cabreda01,2005,1,BAL,AL,10,13,29,29,0,0,0,484,144,81,14,87,157,0.235,4.52,2,9,11,1,716,0,92,2,3,
cabrefe01,2005,1,CLE,AL,2,1,15,0,0,0,0,92,24,5,1,11,29,0.212,1.47,1,1,0,1,124,6,7,0,0,
cainma01,2005,1,SFN,NL,2,1,7,7,1,0,0,139,24,12,4,19,30,0.151,2.33,1,1,0,0,181,0,12,2,1,
capeljo01,2005,1,MIL,NL,1,1,17,0,0,0,0,47,17,5,1,5,14,0.293,2.87,0,0,0,0,67,7,6,2,2,
cappsma01,2005,1,PIT,NL,0,0,4,0,0,0,0,12,5,2,0,0,3,0.333,4.5,0,0,1,0,16,0,2,0,0,
carvama01,2005,1,COL,NL,0,2,39,0,0,0,0,159,52,30,8,21,47,0.259,5.09,0,4,3,0,229,11,30,2,2,
chacigu01,2005,1,TOR,AL,13,9,34,34,0,0,0,609,213,84,20,70,121,0.274,3.72,3,3,8,0,872,0,93,8,10,
coffeto01,2005,1,CIN,NL,4,1,57,0,0,0,1,174,84,29,5,11,26,0.344,4.5,2,1,5,0,265,14,33,3,2,
cordech01,2005,1,WAS,NL,2,4,74,0,0,0,47,223,55,15,9,17,61,0.198,1.82,2,0,2,0,300,62,24,2,1,
cormila01,2005,1,ARI,NL,7,3,67,0,0,0,0,238,86,45,7,43,63,0.284,5.11,5,6,5,0,356,13,50,4,1,
correke01,2005,1,SFN,NL,2,5,16,11,0,0,0,175,61,30,12,31,44,0.274,4.63,2,2,4,0,264,1,31,5,1,
cottsne01,2005,1,CHA,AL,4,0,69,0,0,0,0,181,38,13,1,29,58,0.179,1.94,5,3,4,0,248,10,15,0,3,
crainje01,2005,1,MIN,AL,12,5,75,0,0,0,1,239,61,24,6,29,25,0.218,2.71,7,2,5,0,326,17,28,9,3,
