playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
peavyja01,2006,SDN,NL,NLDS2,P,1,1,16,0,0,0,0,0,,1,1
duncach01,2006,SLN,NL,NLDS2,LF,2,2,42,2,0,1,0,0,,,
johnsty01,2006,SLN,NL,NLDS2,P,4,0,8,0,0,0,0,0,,0,0
molinya01,2006,SLN,NL,NLDS2,C,4,4,102,33,5,1,1,0,0,2,1
pujolal01,2006,SLN,NL,NLDS2,1B,4,4,108,33,3,0,4,0,,,
thompbr01,2006,SLN,NL,NLDS2,P,1,0,2,0,0,0,0,0,,0,0
wainwad01,2006,SLN,NL,NLDS2,P,3,0,11,1,0,0,0,0,,0,0
bondeje01,2006,DET,AL,WS,P,1,1,16,0,2,0,0,0,,1,0
grandcu01,2006,DET,AL,WS,CF,5,5,126,9,0,0,0,0,,,
ledezwi01,2006,DET,AL,WS,P,2,0,4,0,0,0,0,0,,0,0
minerza01,2006,DET,AL,WS,P,1,0,2,0,0,0,0,0,,0,0
verlaju01,2006,DET,AL,WS,P,2,2,33,0,0,2,0,0,,0,1
zumayjo01,2006,DET,AL,WS,P,3,0,9,0,0,1,0,0,,0,0
duncach01,2006,SLN,NL,WS,RF,2,2,39,2,0,1,0,0,,,
johnsty01,2006,SLN,NL,WS,P,2,0,3,0,0,0,0,0,,0,0
molinya01,2006,SLN,NL,WS,C,5,5,132,35,3,0,0,0,0,1,0
pujolal01,2006,SLN,NL,WS,1B,5,5,132,47,1,1,3,0,,,
reyesan01,2006,SLN,NL,WS,P,1,1,24,0,0,0,0,0,,0,0
thompbr01,2006,SLN,NL,WS,P,1,0,2,0,0,0,0,0,,0,0
wainwad01,2006,SLN,NL,WS,P,3,0,9,0,2,0,0,0,,0,0
beckejo02,2007,BOS,AL,ALCS,P,2,2,42,0,2,1,0,0,,0,0
delcama01,2007,BOS,AL,ALCS,P,3,0,5,0,0,0,0,0,,1,0
ellsbja01,2007,BOS,AL,ALCS,CF,2,2,48,2,0,0,0,0,,,
ellsbja01,2007,BOS,AL,ALCS,LF,4,0,15,2,0,0,0,0,,,
lestejo01,2007,BOS,AL,ALCS,P,2,0,11,0,0,0,0,0,,0,0
matsuda01,2007,BOS,AL,ALCS,P,2,2,29,0,1,0,0,0,,0,0
papeljo01,2007,BOS,AL,ALCS,P,3,0,15,0,0,0,0,0,,1,0
pedrodu01,2007,BOS,AL,ALCS,2B,7,7,183,13,17,0,4,0,,,
cabreas01,2007,CLE,AL,ALCS,2B,7,7,186,19,17,1,10,0,,,
carmofa01,2007,CLE,AL,ALCS,P,2,2,18,0,1,0,0,0,,1,0
garkory01,2007,CLE,AL,ALCS,1B,6,6,159,46,7,2,13,0,,,
gutiefr01,2007,CLE,AL,ALCS,RF,6,5,144,15,2,0,0,0,,,
laffeaa01,2007,CLE,AL,ALCS,P,1,0,14,0,0,0,0,0,,0,0
lewisje01,2007,CLE,AL,ALCS,P,5,0,17,0,0,0,0,0,,0,0
mastnto01,2007,CLE,AL,ALCS,P,3,0,14,0,2,0,0,0,,0,0
peraljh01,2007,CLE,AL,ALCS,SS,7,7,186,10,22,0,11,0,,,
perezra01,2007,CLE,AL,ALCS,P,3,0,3,0,0,1,0,0,,0,0
sabatcc01,2007,CLE,AL,ALCS,P,2,2,31,1,1,0,1,0,,0,0
shoppke01,2007,CLE,AL,ALCS,C,1,1,27,5,0,0,0,0,0,0,0
sizemgr01,2007,CLE,AL,ALCS,CF,7,7,186,18,0,0,0,0,,,
beckejo02,2007,BOS,AL,ALDS1,P,1,1,27,1,0,0,0,0,,0,0
delcama01,2007,BOS,AL,ALDS1,P,1,0,4,1,0,0,0,0,,0,0
ellsbja01,2007,BOS,AL,ALDS1,LF,2,0,9,2,0,0,0,0,,,
matsuda01,2007,BOS,AL,ALDS1,P,1,1,14,0,0,0,0,0,,2,0
papeljo01,2007,BOS,AL,ALDS1,P,1,0,4,0,0,0,0,0,,3,0
pedrodu01,2007,BOS,AL,ALDS1,2B,3,3,81,2,9,0,1,0,,,
aybarer01,2007,LAA,AL,ALDS1,RF,1,0,3,1,0,0,0,0,,,
izturma01,2007,LAA,AL,ALDS1,3B,3,3,77,4,6,0,0,0,,,
kendrho01,2007,LAA,AL,ALDS1,2B,3,3,77,6,8,0,6,0,,,
kotchca01,2007,LAA,AL,ALDS1,1B,2,2,50,13,4,0,4,0,,,
mathije01,2007,LAA,AL,ALDS1,C,2,1,24,6,0,0,0,0,0,1,0
moralke01,2007,LAA,AL,ALDS1,1B,1,1,27,9,1,0,3,0,,,
moseldu01,2007,LAA,AL,ALDS1,P,1,0,3,0,0,0,0,0,,0,0
napolmi01,2007,LAA,AL,ALDS1,C,3,2,53,15,2,0,0,0,0,1,1
rodrifr03,2007,LAA,AL,ALDS1,P,1,0,1,0,0,0,0,0,,0,0
santaer01,2007,LAA,AL,ALDS1,P,1,0,6,0,0,0,0,0,,0,0
weaveje02,2007,LAA,AL,ALDS1,P,1,1,15,0,1,0,0,0,,1,0
willire03,2007,LAA,AL,ALDS1,CF,2,1,26,0,0,0,0,0,,,
willire03,2007,LAA,AL,ALDS1,LF,1,0,21,1,0,0,0,0,,,
cabreas01,2007,CLE,AL,ALDS2,2B,4,4,111,9,11,1,4,0,,,
carmofa01,2007,CLE,AL,ALDS2,P,1,1,27,0,5,0,0,0,,1,0
garkory01,2007,CLE,AL,ALDS2,1B,3,3,84,26,3,0,5,0,,,
gutiefr01,2007,CLE,AL,ALDS2,RF,4,2,69,7,0,0,0,0,,,
lewisje01,2007,CLE,AL,ALDS2,P,2,0,6,0,0,0,0,0,,0,0
peraljh01,2007,CLE,AL,ALDS2,SS,4,4,111,14,10,0,5,0,,,
perezra01,2007,CLE,AL,ALDS2,P,3,0,18,0,0,0,0,0,,0,0
sabatcc01,2007,CLE,AL,ALDS2,P,1,1,15,0,0,0,0,0,,0,1
shoppke01,2007,CLE,AL,ALDS2,C,1,1,27,5,1,0,0,0,0,0,0
